category,rank,show_title,season_title,runtime,views_first_91_days,imdb_tconst
Films (English),1,Red Notice,,1.9667,230900000,tt7991608
Films (English),2,Don't Look Up,,2.3833,171400000,tt11286314
Films (English),3,The Adam Project,,1.7833,157600000,tt2463208
Films (English),4,Bird Box,,2.0667,157400000,tt2737304
Films (English),5,The Gray Man,,2.15,139300000,tt1649418
Films (English),6,We Can Be Heroes,,1.6833,137300000,tt10600398
Films (English),7,The Mother,,1.95,136400000,tt6968614
Films (English),9,Extraction,,1.9667,135700000,tt8936646
Films (English),10,Extraction 2,,2.0667,134900000,tt12263384
Films (Non-English),1,Troll,,1.7333,103000000,tt11116912
Films (Non-English),2,Nowhere,,1.8167,83700000,tt15789472
Films (Non-English),3,The Platform,,1.5667,82800000,tt8228288
Films (Non-English),4,Through My Window,,1.9,61100000,tt14463484
Films (Non-English),5,AKA,,2.0667,60900000,tt0317052
Films (Non-English),6,Blood Red Sky,,2.05,60900000,tt6402468
Films (Non-English),7,My Name Is Vendetta,,1.5333,56400000,tt15229674
Films (Non-English),8,Black Crab,,1.9167,53900000,tt6708668
Films (Non-English),9,All Quiet on the Western Front,,2.4833,52100000,tt1016150
Films (Non-English),10,Below Zero,,1.7833,48600000,tt9845564
TV (English),1,Wednesday,Wednesday: Season 1,6.8167,252100000,tt13443470
TV (English),2,Stranger Things,Stranger Things 4,13.0667,140700000,tt4574334
TV (English),4,Bridgerton,Bridgerton: Season 1,8.2,113300000,tt8740790
TV (English),5,The Queen's Gambit,The Queen's Gambit: Limited Series,6.6167,112800000,tt10048342
TV (English),6,The Night Agent,The Night Agent: Season 1,8.1833,98200000,tt13918776
TV (English),7,Stranger Things,Stranger Things 3,7.55,94800000,tt4574334
TV (English),8,Bridgerton,Bridgerton: Season 2,8.5,93800000,tt8740790
TV (English),9,The Witcher,The Witcher: Season 1,8.0,83000000,tt5180504
TV (English),10,Queen Charlotte: A Bridgerton Story,,6.4833,81300000,tt14661396
TV (Non-English),1,Squid Game,Squid Game: Season 1,8.3167,265200000,tt10919420
TV (Non-English),2,Money Heist,Money Heist: Part 4,6.7,106000000,tt6468322
TV (Non-English),3,Lupin,Lupin: Part 1,3.9833,99500000,tt1018841
TV (Non-English),4,Money Heist,Money Heist: Part 5,9.0833,99200000,tt6468322
TV (Non-English),5,Money Heist,Money Heist: Part 3,6.5,80000000,tt6468322
TV (Non-English),6,Lupin,Lupin: Part 2,3.7833,68400000,tt1018841
TV (Non-English),7,Who Killed Sara?,Who Killed Sara?: Season 1,6.7167,58400000,tt11937816
TV (Non-English),8,All of Us Are Dead,All of Us Are Dead: Season 1,12.2333,55500000,tt14169960
TV (Non-English),9,Dear Child,Dear Child: Limited Series,4.8167,50900000,tt20863760
TV (Non-English),10,Elite,Elite: Season 3,6.7,50000000,tt7134908
